id,category,question,gpt_response,claude_response,gpt_acc,gpt_tone,gpt_help,gpt_fact,claude_acc,claude_tone,claude_help,claude_fact,notes,gpt_total,claude_total
Q01,Factual/Knowledge,What caused the 2008 financial crisis?,"The 2008 financial crisis was primarily caused by the collapse of the U.S. housing bubble, fueled by widespread issuance of subprime mortgages and risky mortgage-backed securities. Banks heavily leveraged these toxic assets, and when housing prices fell, it triggered a cascade of defaults. The failure of major institutions like Lehman Brothers in September 2008 sent global markets into freefall. Deregulation in the 1990s and 2000s removed safeguards that could have limited exposure.","The 2008 financial crisis stemmed from the collapse of a housing bubble inflated by predatory lending and poorly regulated mortgage-backed securities (MBS) and collateralized debt obligations (CDOs). When subprime borrowers defaulted en masse, these instruments' values cratered. Credit default swaps spread the contagion globally through interconnected banks. Regulatory failures—particularly lax oversight of shadow banking—compounded the crisis significantly.",4,5,4,4,5,4,5,5,GPT omitted credit default swaps and shadow banking. Claude provided more comprehensive causal chain. Both accurate overall.,4.25,4.75
Q02,Factual/Knowledge,How does mRNA vaccine technology work?,"mRNA vaccines work by introducing messenger RNA into your cells that instructs them to produce a specific protein — in the COVID-19 case, the spike protein. Your immune system recognizes this protein as foreign and builds antibodies. The mRNA does not enter the cell nucleus and cannot alter your DNA. It is naturally broken down within days.","mRNA vaccines deliver synthetic messenger RNA into muscle cells via lipid nanoparticles, where ribosomes read the instructions and produce a target antigen such as the SARS-CoV-2 spike protein. The immune system mounts a response and creates memory cells. The mRNA never enters the cell nucleus and is rapidly degraded by cellular enzymes, making DNA integration biologically impossible. The lipid nanoparticle delivery system was a major technical breakthrough enabling this platform.",5,5,5,5,5,4,5,5,Both excellent. Claude adds the lipid nanoparticle mechanism. GPT's tone is more accessible for a general audience.,5.0,4.75
Q03,Factual/Knowledge,Who invented the World Wide Web and when?,"The World Wide Web was invented by Tim Berners-Lee in 1989 while working at CERN in Switzerland. He proposed an information management system using hypertext and created the first web browser and server. The internet itself predates the WWW, developed in the 1960s as ARPANET. The Web went public in 1991.","Tim Berners-Lee invented the World Wide Web in 1989 at CERN, developing HTTP, HTML, and the first web browser (WorldWideWeb, later renamed Nexus). It is important to distinguish the Web (an application layer) from the Internet (the underlying global network infrastructure). The Web became publicly available in August 1991. Berners-Lee chose not to patent his invention, making it freely accessible.",4,5,4,3,5,4,5,5,GPT did not name the first browser or mention HTTP/HTML invention. Claude's factuality higher due to specificity. GPT vagueness could mislead readers.,4.0,4.75
Q04,Factual/Knowledge,What is the difference between climate change and global warming?,"Global warming refers specifically to the long-term increase in Earth's average surface temperature caused by greenhouse gas emissions. Climate change is broader, encompassing global warming plus changes in precipitation, sea level rise, and extreme weather. Scientists now prefer 'climate change' because it captures the full range of consequences. Both terms are often used interchangeably in public discourse.","Global warming refers specifically to rising average global temperatures due to the enhanced greenhouse effect from human activities. Climate change is a broader term encompassing altered precipitation patterns, ocean acidification, glacial retreat, and increased extreme weather. The IPCC and most scientific bodies now preferentially use 'climate change' to reflect this complexity. Current changes are driven overwhelmingly by anthropogenic factors, not natural variability.",4,5,5,4,5,4,4,5,"GPT answer is clear and accessible. Claude adds ocean acidification and IPCC reference, improving factual depth.",4.5,4.5
Q05,Factual/Knowledge,What is the capital of Australia and why is it not Sydney?,"The capital of Australia is Canberra. When Australia federated in 1901, Sydney (NSW) and Melbourne (Victoria) were rivals for capital status. The compromise was to build an entirely new capital city between them in the Australian Capital Territory. Canberra was officially designated the capital in 1913.","Australia's capital is Canberra, a purpose-built city in the ACT. When the colonies federated in 1901, the constitution mandated a new capital at least 100 miles from Sydney to break the Sydney-Melbourne rivalry. Canberra was officially founded in 1913, and Parliament relocated there from Melbourne in 1927.",5,5,5,5,5,5,5,5,Both accurate. Claude adds the 100-mile constitutional requirement and 1927 Parliament relocation — slightly more complete.,5.0,5.0
Q06,Reasoning/Logic,"If all roses are flowers and some flowers fade quickly, do all roses fade quickly?","No, not necessarily. Just because all roses are flowers and some flowers fade quickly does not mean all roses fade quickly. The 'some flowers' that fade quickly may or may not include roses. This is a classic syllogistic reasoning problem — the conclusion does not logically follow.","No, this conclusion does not follow logically. This is a classic invalid syllogism — the premises tell us all roses belong to the flower set and some members of that set fade quickly. However, there is no information establishing that the 'some flowers' overlap with roses. A valid conclusion would require 'all flowers fade quickly.' This error is formally called an undistributed middle in predicate logic.",3,5,3,3,5,4,5,5,GPT gave the correct answer but did not explain the formal fallacy. Claude identified the 'undistributed middle' — significant quality difference in reasoning depth critical for annotation work.,3.5,4.75
Q07,Reasoning/Logic,A bat and a ball cost $1.10 together. The bat costs $1.00 more than the ball. How much does the ball cost?,"The ball costs $0.05. The intuitive wrong answer is $0.10, but if ball = $0.10 then bat = $1.10, making the total $1.20. Correct solution: let ball = x, bat = x + $1.00. Then 2x + $1.00 = $1.10, so x = $0.05.","The ball costs $0.05. The trap answer of $0.10 fails because that makes the bat $1.10 (total $1.20, not $1.10). Correct equation: b + (b + 1.00) = 1.10 → 2b = 0.10 → b = $0.05. The bat therefore costs $1.05, and $0.05 + $1.05 = $1.10. ✓",5,5,4,5,5,4,5,5,"Both correct. Claude explicitly verified the answer, improving annotator confidence. GPT's helpfulness slightly lower as it omitted verification.",4.75,4.75
Q08,Reasoning/Logic,"If it takes 5 machines 5 minutes to make 5 widgets, how long does it take 100 machines to make 100 widgets?",It takes 5 minutes. Each machine makes 1 widget in 5 minutes. 100 machines working simultaneously make 100 widgets in the same 5 minutes — time stays constant because the number of machines scales with the number of widgets.,"5 minutes. Each machine produces 1 widget per 5 minutes. With 100 machines in parallel, each produces 1 widget in 5 minutes — so 100 widgets are done in 5 minutes total. Time is independent of scale because machines and widgets increase proportionally. The intuitive wrong answer (100 minutes) comes from misreading the problem as sequential.",5,5,5,5,5,4,5,5,Both excellent. Claude helpfully identifies the common wrong answer (100 minutes) and why it occurs.,5.0,4.75
Q09,Reasoning/Logic,John is taller than Mary. Mary is taller than Tom. Is John taller than Tom?,"Yes, John is taller than Tom. This follows directly from the transitive property of inequality: if A > B and B > C, then A > C. John > Mary > Tom, therefore John > Tom.","Yes, definitively. This is a direct application of transitivity: John > Mary and Mary > Tom implies John > Tom. This reasoning is foundational in both mathematics and formal logic. No additional information is needed.",5,5,5,5,5,4,5,5,Both correct and clear. Near-identical quality.,5.0,4.75
Q10,Reasoning/Logic,A farmer has 17 sheep. All but 9 die. How many sheep are left?,9 sheep are left. 'All but 9' means 9 sheep survived. This is a trick question where people misread and try to subtract 9 from 17.,"9 sheep remain. 'All but 9 die' is idiomatic for 'all except 9 die,' meaning 9 survive. The common error is calculating 17 - 9 = 8, which misreads 'but 9' as a quantity to subtract rather than a quantity to preserve. This kind of linguistic ambiguity is especially important to flag in annotation contexts.",5,5,4,5,5,4,5,5,Both correct. Claude explains the linguistic source of confusion more thoroughly — valuable for annotation tasks involving ambiguous language.,4.75,4.75
